Source,Source File,Model Phase,Model Subphase,QRP Coded,target,Practice coded,include,Notes,Reason coded,Practice Source,Evidence Source,Reason source,Solution Source,Source
Internal,,Houlahan,,,,,,,,,,,,
Internal,,Model Evaluation,Model Selection,,,,,,FROM [[source_notes/@Shmueli:2010ec]],,,,,
Internal,,,,,,,,,,,,,,
QRP_modelling_database,[[Bennett-2013-selective-reporting-weighting-evaluation-2]],Model Evaluation,Model Performance Metric,S-hacking,output,"Changing the relative weighting or selective reporting after observing model results, when there are multiple model evaluation analyses.",TRUE,,,"""In every study, the researchers may tweak the analyses to make sure that their model is better. There are many statistical validation methodologies which may be combined at will to favor one particular result. The plague of selective reporting based on p- values, and the misuse of p-values in general (Wasserstein et al., 2019) can still affect internal and external validation [...] There may be even more subjectivity in considering the results of quantitative testing. Suppose one model is superior to another according to one metric, while it is the reverse according to another metric. What is the weight to be assigned to individual quantitative criteria in the overall assessment? How are these weights decided and by whom?""",,,,[[@Bennett2013]]
QRP_modelling_database,[[Bennett-2013-selective-reporting-weighting-evaluation-1]],Model Evaluation,Model Performance Metric,Selective Reporting,output,"Selective reporting of model evaluation metrics after observing model results, when there are multiple model evaluation metrics or analyses.",TRUE,,,"""In every study, the researchers may tweak the analyses to make sure that their model is better. There are many statistical validation methodologies which may be combined at will to favor one particular result. The plague of selective reporting based on p- values, and the misuse of p-values in general (Wasserstein et al., 2019) can still affect internal and external validation [...] There may be even more subjectivity in considering the results of quantitative testing. Suppose one model is superior to another according to one metric, while it is the reverse according to another metric. What is the weight to be assigned to individual quantitative criteria in the overall assessment? How are these weights decided and by whom?""",,,,[[@Bennett2013]]
QRP_modelling_database,[[Nagy-2025-modifying-measurements-1]],Model Evaluation,Model Performance Metric,S-hacking,output,Changing performance metrics to increase perception of performance after fitting model and observing model evaluation / model checking results.,TRUE,,Overrates model performance and may result in spuriously selected model.,"""Changing the properties of a measure/measurement to produce favorable results without proper justification and/or transparent reporting. (1) Researcher uses only a portion of the items from a longer scale. (2) Researcher combines items from different scales into a single measure. (3) Researcher chooses which EEG electrodes to aggregate based on the results.""",,"""Reduced replicability, Reduced reproducibility, Reduced validity of the measure, Inflated or deflated reliability of the measure, Inflated type I or type II error, Inflated or deflated effect size estimates.""",,[[@Nagy2025]]
QRP_modelling_database,[[Nagy-2025-modifying-measurements-2]],Model Evaluation,Model Performance Metric,Selective Reporting,output,Selectively reporting performance metrics that increase perception of performance after fitting model and observing model evaluation / model checking results.,TRUE,Have split this practice into two.,Overrates model performance and may result in spuriously selected model.,"""Changing the properties of a measure/measurement to produce favorable results without proper justification and/or transparent reporting. (1) Researcher uses only a portion of the items from a longer scale. (2) Researcher combines items from different scales into a single measure. (3) Researcher chooses which EEG electrodes to aggregate based on the results.""",,"""Reduced replicability, Reduced reproducibility, Reduced validity of the measure, Inflated or deflated reliability of the measure, Inflated type I or type II error, Inflated or deflated effect size estimates.""",,[[@Nagy2025]]
QRP_modelling_database,[[Hofman-2023-reaccessing-test-data-2]],Data,Data Processing,Sample Curation,input,Collecting new data after observing model checking or model evaluation results (optional stopping rule).,TRUE,,,"""The other three participants described strategies that involved re-accessing test data"" (without reporting).","""P1 described how they might try reducing the model size, in terms of the number of neurons, in addition to checking the data distribution. If the model continued to fail after such checks would they attempt to acquire new data. P2 described how they would try varying the hyper-parameter settings in cross-validation, and if this failed to improve test performance, systematically test the effects of feature combinations on performance, followed by rethinking their pre-processing steps.""","""if not reported, they would jeopardize the reproducibility of the reported test metrics.""",,[[@hofman2023]]
QRP_modelling_database,[[Hofman-2023-reaccessing-test-data-1]],Model Construction,Model Specification,S-hacking,model,Changing the model specification after observing modelling checking or model evaluation results.,TRUE,,,"""The other three participants described strategies that involved re-accessing test data"" (without reporting).","""P1 described how they might try reducing the model size, in terms of the number of neurons, in addition to checking the data distribution. If the model continued to fail after such checks would they attempt to acquire new data. P2 described how they would try varying the hyper-parameter settings in cross-validation, and if this failed to improve test performance, systematically test the effects of feature combinations on performance, followed by rethinking their pre-processing steps.""","""if not reported, they would jeopardize the reproducibility of the reported test metrics.""",,[[@hofman2023]]
QRP_modelling_database,[[Liu-2020-selective-reporting]],,,,,,,,,,,,,[[@Liu2020]]
QRP_modelling_database,[[shmuelli-model-selection-on-F-statistic]],Model Construction,Model Selection,Model Dredging,model,"Dredging for models in unconstrained model space, where model space is not informed by theory or consists of models that are biologically implausible.",TRUE,,,"""Stepwise-type methods, which use overall F statistics to include and/or exclude variables, might appear suitable for achieving high explanatory power. However, optimizing explanatory power in this fash- ion conceptually contradicts the validation step, where variable inclusion/exclusion and the structure of the statistical model are carefully designed to represent the theoretical model. Hence, proper explanatory model selection is performed in a constrained manner. In the words of Jaccard (2001): Trimming potentially theoretically mean- ingful variables is not advisable unless one is quite certain that the coefficient for the variable is near zero, that the variable is in- consequential, and that trimming will not introduce misspecification error.""",,,,[[@Shmueli:2010ec]]
QRP_modelling_database,[[Risbey-SelectiveDebugging]],Model Evaluation,Model Verification,Selective Debugging,model,Error checking only when unexpected or anomalous results are produced.,TRUE,,,"""When model code reaches a critical size (exceeded by all but the simplest models), error checking tends to occur only (or mostly) when results depart from expectations, and thus has more of the character of systematic bias than systematic checking.""",,"""If the model is scrutinized mostly in those situations when strange results occur, then strange results will tend to be corrected (when a model error is found) so that the model reconfirms expectations. On the flip side, when model results confirm expectations, error checking tends to be only cursory and the model will go uncorrected, even if wrong. Thus, there is a bias towards confirmation of expectations.""",,[[@Risbey2005]]
QRP_modelling_database,[[Pu2018-vividness-criterion-bias]],Model Construction,Conceptual Model Specification,,,,,,,"""Many of these biases dovetail with the forking paths problem: the vividness criterion, for example, might lead an analyst to pay undue attention to certain data, building a mental model that overfits to the particulars of a sample but generalizes poorly.""",,"""building a mental model that overfits to the particulars of a sample but generalizes poorly""",,[[@Pu2018]]
QRP_modelling_database,[[Pu2018-persistence-of-impressions]],Model Construction,,,,,,,,"""Analysts may also be subject to problems of persistence of impressions based on discredited evidence if during some portion of exploratory analysis they come up with an interest—but incorrect—model or hypothesis, they may be slow to abandon it in the face of additional evidence later in exploration. Or worse, they may resist abandoning a model that was discovered during exploratory analysis but refuted during confirmatory analysis.""",,,,[[@Pu2018]]
QRP_modelling_database,[[Pu2018-assessing-model-performance-on-training-set-only]],"Data, Model Evaluation, Model Construction","Data Partitioning, Model Tuning",Poor Practice,input,"Resubstitution: assessing model performance on training set only or failing to evaluate model on independent data, or on partitioned holdout data.",FALSE,,Model performance will be overrated due to overfitting to training data.,"""Simply assessing model performance on a training set will lead to biased estimates of performance, because the model will have fit to some regular and irregular features of the sample at hand, but cannot distinguish between them.""",,"""will lead to biased estimates of performance, because the model will have fit to some regular and irregular features of the sample at hand, but cannot distinguish between them.""",,[[@Pu2018]]
QRP_modelling_database,[[Prosperi-2019-HARKing]],,,,,,,,,"""HARK (Hypothesizing after results are known) can lead to data-dredging, data fishing, or p-hacking that is unduly manipulating data collection or statistical analysis in order to produce a statistically significant result. \[...\] HARK has been deconstructed in various ways (Rubin, 2017), including constructing, retrieving, and secretly suppressing hypotheses after results are known (CHARK, RHARK, SHARK). Not all types of HARK are considered detrimental: for instance, transparent HARK (THARK), i.e., reporting and discussing post hoc exploratory data analysis on empirical studies, has been deemed “beneficial to scientific progress and, in many cases, ethically required” (Hollenbeck and Wright, 2017). Nonetheless, it is often not possible to distinguish what kind of HARK has happened in a study.""",,"""HARK and data dredging can take place due to costs and rewards: the costs being associated with collecting more data and running more experiments to test multiple hypotheses or to redesign and rerun studies; and the rewards for publishing negative studies being relatively low. The recognition that a large proportion of published research is likely to be false through conscious or unconscious HARK and data dredging (Macleod et al., 2014; Begley and [[@Ioannidis:2014cm]] Ioannidis, 2015) has ignited a reprodu- cibility crisis, especially in social, health, and biomedical sciences (Baker, 2016).""",,[[@Prosperi2019]]
QRP_modelling_database,[[Prosperi-2019-BF-hacking]],"Data, Model Evaluation, Model Construction","Data Processing, Model Performance Metric, Model Specification",S-hacking,"input, model, output",Bayes Factor hacking: optimising the model to obtain a Bayes Factor above the required threshold.,TRUE,"Bayes Factor Hacking by data peeking, removing outliers, or changing model specification (dependent variable and/or predictor variables) in order to find model with greatest Bayes Factor.",Artificially inflates model performance and may result in spuriously selected model.," ""[[@Simonsohn2015]] showed through simulations (data peeking, convenient outlier removal, choosing favorable dependent variable or one variable combination out of many) how Bayes factors, not only p-values, can be hacked through selective reporting."""," ""[[@Simonsohn2015]] showed through simulations (data peeking, convenient outlier removal, choosing favorable dependent variable or one variable combination out of many) how Bayes factors, not only p-values, can be hacked through selective reporting.""",,,[[@Bodner2020]]
QRP_modelling_database,[[Nakagawa-2017-fishing-expedition]],Model Construction,Model Specification,Overfitting,model,Overfitting a model to calibration dataset by including too many moderators or predictors relative to the size and complexity of the dataset.,TRUE,,"Spuriously selected model that is overfit to the data and may poorly generalise. ","""This means that, as a reader, you may want to check for the inclusion of too many [[predictors]] / [[moderators]] in a single model, or ‘[[over-fitting]]’ (the rule of thumb is that the authors may need at least ten effect sizes per estimated moderator) \[64\], and for ‘fishing expeditions’ (also known as ‘[[data dredging]]’ or ‘[[p hacking]]’; that is, non-hypothesis-based exploration for statistical significance \[28, 65, 66\])"" p.7",,,,[[@Nakagawa2017]]
QRP_modelling_database,[[Nakagawa-2017-data-dredging]],"Model Construction, Model Evaluation","Model Selection, Model Performance Metric",S-hacking,"model, output",Dredging fitted models for statistical significance or other outcome variable.,TRUE,"Similar to Model Dredging, but model space is constrained by some performance metric or other outcome variable.",Spuriously selected model.,"""This means that, as a reader, you may want to check for the inclusion of too many [[predictors]] / [[moderators]] in a single model, or ‘[[over-fitting]]’ (the rule of thumb is that the authors may need at least ten effect sizes per estimated moderator) \[64\], and for ‘fishing expeditions’ (also known as ‘[[data dredging]]’ or ‘[[p hacking]]’; that is, non-hypothesis-based exploration for statistical significance \[28, 65, 66\])"" p.7",,,,[[@Nakagawa2017]]
QRP_modelling_database,[[Nagy-2025-selective-sampling]],Data,Data collection,Sample Curation,input,"Selective sampling / biased sampling, e.g. convenience or opportunistic sampling.",FALSE,"Sometimes opportunistic sampling is the best we can do when collecting ecological datasets. Only clearly problematic when not communicated or intentional, which in the latter case is a clear case of misconduct.",,"""Collecting a sample in a way that biases the findings. e.g. (1) Researcher tests the likeability of chocolate on a group of children only in order to find that everyone loves it. (2) Using uncomparable groups: The researcher tests if men are more aggressive than women. For comparison, women from a university are compared with men from a prison. (3) Picking a subsample of a panel dataset to find the desired results."" \[...\] ""convenience sampling""",,"""Inflated or deflated effect size estimates, Inflated type I or type II error, Compromised generalizability, Reduced replicability if sampling bias is not disclosed""",,[[@Nagy2025]]
QRP_modelling_database,[[Nagy-2025-missing-data-hacking]],Data,Data Processing,Sample Curation,input,Missing data hacking: changing the strategy to handle missing data after fitting the model and observing model checking / model performance evaluation results.,TRUE,,Overrates model performance and may result in spuriously selected model.,"""Choosing the strategy to handle missing data based on the impact on the results. (1) A researcher tries three ways of handling missing data, for example, listwise deletion, multiple imputation, and inverse probability weighting. The expected results only appear with inverse probability weighting. The researcher reports only this strategy in the paper and leaves out results with listwise deletion and multiple imputation. (2) Can also be within a single method, specifically multiple imputation, since it uses one or more variables to replace missing data, and the choice of these variables is up to the researcher, but can also be statistically based.""",,"""Inflated or deflated effect size estimates, Inflated type I or type II error, Reduced reproducibility, Reduced replicability""",,[[@Nagy2025]]
QRP_modelling_database,[[Nagy-2025-excluding-data-points]],Data,Data Processing,Sample Curation,input,"Excluding data points, such as outliers or other values, without justification and prior planning, i.e. after fitting model and observing model evaluation / model checking results.",TRUE,,Overrates model performance and may result in spuriously selected model.,"""Exclusion of data points or outliers without proper justification and transparent reporting. e.g. (1) Removing individual reaction time trials based on post hoc criteria. (2) Trying different outlier cut-off criteria until an effect is statistically significant""",,"""Inflated or deflated effect size estimates, Inflated type I or type II error, Compromised generalizability, Reduced replicability, Reduced reproducibility""",,[[@Nagy2025]]
QRP_modelling_database,[[Nagy-2025-data-peeking-optional-stopping]],Data,Data Collection,S-hacking,"input, output",Collecting new data and refitting model after observing model evaluation / model checking results (optional stopping rules).,TRUE,Is this S-hacking or Sample Curation? outcome variable or performance measure is indirectly manipulated by directly manipulating input data.,Overrates model performance and may result in spuriously selected model.,"""Monitoring hypothesis tests during data collection, and stopping when statistical inference is favorable, without controlling for sequential testing"" e.g. ""Researcher is collecting responses and tests the hypothesis after every participant - when significance is reached, the researcher stops collecting data.""",,"""inflated type 1 error, reduced replicability"" from the following sources: - de Heide, R., & Grünwald, P. D. (2021). Why optional stopping can be a problem for Bayesians. Psychonomic Bulletin & Review, 28(3), 795–812. [https://doi.org/10.3758/s13423-020-01803-x](https://doi.org/10.3758/s13423-020-01803-x) - Lakens, D. (2022). Sample size justification. Collabra. Psychology, 8(1). [https://doi.org/10.1525/collabra.33267](https://doi.org/10.1525/collabra.33267) - Schönbrodt, F. D., & Perugini, M. (2013). At what sample size do correlations stabilize? Journal of Research in Personality, 47(5), 609–612. [https://doi.org/10.1016/j.jrp.2013.05.009](https://doi.org/10.1016/j.jrp.2013.05.009) - Schönbrodt, F. D., Wagenmakers, E.-J., Zehetleitner, M., & Perugini, M. (2017). Sequential hypothesis testing with Bayes factors: Efficiently testing mean differences. Psychological Methods, 22, 322–339. doi:10.1037/met0000061 [OSF project with reproducible code, workshop slides, presentation slides] - Wicherts, J. M., Veldkamp, C. L. S., Augusteijn, H. E. M., Bakker, M., van Aert, R. C. M., & van Assen, M. A. L. M. (2016). Degrees of freedom in planning, running, analyzing, and reporting psychological studies: A checklist to avoid p-hacking. Frontiers in Psychology, 7, 1832. [https://doi.org/10.3389/fpsyg.2016.01832](https://doi.org/10.3389/fpsyg.2016.01832)""",,[[@Auspurg2021]]
QRP_modelling_database,[[Nagy-2025-ad-hoc-exclusion-criteria]],"Data, Model Evaluation","Data Processing, Model Performance Metric",Sample Curation,input,Using ad hoc exclusion criteria or modifying exclusion criteria after fitting model and observing model evaluation / model checking results.,TRUE,,Overrates model performance and may result in spuriously selected model.,"""Exclusion of participants without proper justification transparent reporting. (1) Researcher finds that a correlation between two variables is not significant. After removing two participants - who should be included - the association becomes significant. Then the researcher comes up with post hoc exclusion criteria for those participants. (2) A researcher doesn’t find an expected association between perceived stress and personality. When looking only at the top 25% of perceived stress scores, the association is there. They go on to report the top 25% scores as their population of interest and do not disclose that they looked at the rest of the sample population.""",,"""Inflated or deflated effect size estimates, Inflated type I or type II error, Compromised generalizability, Reduced replicability, Reduced reproducibility""",,[[@Nagy2025]]
QRP_modelling_database,[[Nagy-2025-Discretizing-continuous-variables]],Data,Data Processing,S-hacking,input,Discretizing continuous variables after observing model checking / model performance results.,TRUE,,Overrates model performance.,"""Taking a continuous variable and making it categorical without proper justification and transparent reporting. (1) Researcher doesn’t find an association between depression and continuous age variables, and recodes age into young and old categories. After that, age groups show a significant association with depression. An independent samples t-test is reported instead of a correlation.""",,"""Inflated or deflated effect size estimates, Inflated type I or type II error, Reduced replicability, Compromised generalizability.""",,[[@Nagy2025]]
QRP_modelling_database,[[McDermott-2021-overfitting-model]],Model Construction,"Model Tuning, Model Specification",Overfitting,model,Overfitting a model to calibration dataset by including too many moderators or predictors relative to the size and complexity of the dataset.,TRUE,,Especially at risk when datasets are small.,,,"""It is likely that these problems with statistical reproducibility also plague MLH papers as well, especially given that health datasets tend to be relatively small, have high dimensionality, are noisy, and often suffer from sparse/irregular sampling.""",,[[@McDermott2021]]
QRP_modelling_database,[[McDermott-2021-over-claiming-generalisability]],Model Application,Inference,Overhyping,output,Claiming the model has greater generalizability / replicability than it does.,TRUE,,,"""Just as statistical reproducibility is like internal validity, replicability is closely related to external validity (8), as it describes the notion of how well the desired results can be reproduced under conditions that match the conceptual description of the purported effect. Replicability is task-definition dependent; claiming a task has a greater conceptual horizon of generalizability makes it harder to satisfy this requirement.""",,,,[[@McDermott2021]]
QRP_modelling_database,[[McDermott-2021-optimising-method]],Model Construction,Method Selection / Model Selection,Overhyping,model,"For studies developing new methods or approaches, optimising method / approach to improve the performance against baseline methods.",FALSE,,,"""Issues with statistical reproducibility may also arise due to an effect whereby researchers routinely spend more effort optimizing their method than is spent on the baseline methods against which their method is compared (**11**).""",,,,[[@McDermott2021]]
QRP_modelling_database,[[MacNally2000-dredging]],Model Construction,"Model Specification, Model Selection",Model Dredging,model,"Dredging for models in unconstrained model space, where model space is not informed by theory or consists of models that are biologically implausible.",TRUE,,"'Best' or 'final' models are only spuriously selected. ","“Statistical tinkering, which really what the entire domain of model selection is about, can never be a substitute for intelligent prior selection of independent variables that may influence the dependent variable (e.g. Flack and Chang 1987. Ecologists and conservation biologists too often measure almost everything they can (especially in these days of automated probes and data loggers, remote sensing and GIS) and hope that something important will by ‘fished out’ of the resultant murky data. The variable-selection process will be substantially improved – and, therefore, the inferences too – if that process involves building upon existing knowledge and theory. In a sense, ‘forcing’ variables to be included in MR settings (e.g. Panzer and Schwartz 1998) is consistent with this philosophy because workers adjudge, ab initio, that these variables are crucial to the understanding of the system. Thus, all of the methods described in this paper are adjuncts rather than definitive expressions of the reasons for variation in the critical dependent variables and should be couched in these terms.”",,,,[[@MacNally2000]]
QRP_modelling_database,[[Liu-2020-executing-alternative-analyses]],Model Evaluation,,Executing alternative analyses,,,,,,,,,,[[@Liu2020]]
QRP_modelling_database,[[Liu-2020-changing-random-seed-after-seeing-results]],Model Construction,Model Specification,S-hacking,input,Changing random seed and refitting model after seeing results to improve model performance.,TRUE,,Model performance overrated.,"""Machine learning researchers note similar issues, for example tuning random seeds can drastically alter results"" (Cites: Peter Henderson, Riashat Islam, Philip Bachman, Joelle Pineau, Doina Precup, and David Meger. 2018. Deep reinforcement learning that matters. In Proceedings of the AAAI Conference on Artificial Intelligence)",,,,[[@Liu2020]]
QRP_modelling_database,[[Lewis-2023-overfitting-models-to-calibration-data]],Model Construction,Model Specification,Overfitting,model,Overfitting a model to calibration dataset by including too many moderators or predictors relative to the size and complexity of the dataset.,TRUE,,Model will be overfit to data and generate spurious results and predictions that do not generalise to new / out-of-sample data.,"""calibrating a model to closely match one dataset, at the expense of predictive power for new data), as can happen when all available data are used to fit a model.""",,"""spurious results that result from overfitting models to data (i.e. calibrating a model to closely match one dataset, at the expense of predictive power for new data), as can happen when all available data are used to fit a model.""",,[[@lewis2023]]
QRP_modelling_database,[[Lewis-2023-overfitting-by-adding-parameters]],Model Construction,"Model Specification, Model Tuning",Overfitting,model,"Overfitting model to calibration data by adding additional parameters after observing fitted model. ",TRUE,,"Model is overfitted to one dataset, at the expense of predictive power for new data. Model is unable to successfully predict out-of-sample data.","""Ecological forecasts that successfully predict out-of-sample  data often come from very simple models (Chevalier & Knape, 2020; Ward et al., 2014), in part because they cannot increase model fit simply by adding additional parameters and overfitting to data. \[...\] overfitting models to data (i.e. calibrating a model closely to match one dataset, at the expense of predictive power for new data).""","""For example,  Averill et al. (2021) found that out-of-sample validations for some  forecasts of soil microbial taxonomic and functional groups were  systematically biased due to small differences in measurement techniques.""",,,[[@lewis2023]]
QRP_modelling_database,[[Lewis-2023-modifying-model-post-validation]],Model Construction,Model Specification,S-hacking,"output, model",Over-fitting model to held-out data by modifying model after cross-validation / model evaluation.,TRUE,,Model will be overfit to held-out data.,"""model evaluation using in-sample data will share any systematic errors, and a researcher using cross-validation may overfit the held-out data by modifying models post hoc after cross-validation""",,,,[[@lewis2023]]
QRP_modelling_database,[[Konijn-2015-Bayes-factor-hacking]],Model Evaluation,Model Performance Metric,S-hacking,"output, model",Bayes Factor hacking: optimising the model to obtain a Bayes Factor above the required threshold.,TRUE,,,"""However, a Bayesian approach is not without fallacies. That is, the results of Bayesian statistics can lead to instrumental optimization of Bayes factors (i.e., “BF-hacking”) similar to the phenomenon of p-hacking in traditional NHST, especially when dichotomous cut-off values for evidentiary power (and thus “publishability”) are set. In line with the famous quote of Rosnow and Rosenthal (1989, p. 1277), we argue that “God would love a Bayes Factor of 3.01 nearly as much as a BF of 2.99” (see section “BF-hacking”). Furthermore, not any BF-value can be taken as conclusive support without careful consideration of its interpretation, especially when BF values are small""",,,,[[@Konijn2015]]
QRP_modelling_database,[[Joseffson-2020-false-causal-claim]],Model Application,Inference,Overhyping,output,Correlative claims are misreported using causal language.,TRUE,,"For researchers, the problem (and solution) to misusing causal language to report correlational findings from observational studies is likely institutional. In addition, there may be unique extrinsic constraints on researchers working at the [[practitioner-research-policy nexus]], where by policy makers are funding the research, and expect clear messages about the research findings such that researchers do not report on study design limitations [[study limitation reporting]]. Another possible explanation is that applied journals pressure authors into providing clear directives to practitioners and policy-makers, However, given that this problem occurs in other disciplines, I would say that this is a science-wide problem not unique to discipline, but caused by some other facet of the science-publication pipeline.","Data derived from observational studies may be biased due to selection bias, and because the driver of observed effects can't be properly identified because of confounding - thus causal inference is not possible with observational studies. Because observations are merely correlative, and the true driver of an effect can be hidden when attempting to make causal inferences from observational studies. This results in false confidence, and possibly false negatives, in drivers of observed patterns. ""observational study designs are generally restricted in terms of their capacity for causal inference (Underwood, 1997). The main problem of implying causation from correlative observations is that it may divert attention from the real reasons for any observed effect, promoting false confidence in the drivers of the observed pattern."" p.2","""Most intervention evaluations used observational study-designs observational studies, and of those studies, the majority used causal language (inappropriately), with few acknowledging base-line bias at all. Many studies used hedged causal statements to soften causal wording. \[...\] despite the correlative nature of the data in the Obs-CI studies, definitive (i.e., without hedging) causal word ing was common (66%). Hedged causal statements, using words such as “may,” “appears to,” and “indicates” to soften causal terminology, was used in another 16% of the studies (Figure 2a; Table S4 in the Supporting Information)."" p.5","""It has been suggested that competition among researchers and journals for high impact publications may foster a culture to neglect inherent and fundamental flaws related to study design, or to falsely make causal claims, in order to increase the seeming significance of research findings (Cofield, Corona, & Allison, 2010; Lipton & Ødegaard, 2005; Puhan et al., 2012; Robinson et al., 2007). \[...\] A culture to let study design limitations go by unremarked may also be fostered at the interface between applied sciences and policy when policymakers provide funding and expect clear answers to research questions. \[...\] Similarly, editors of applied journals may suggest authors to provide clear directives to practitioners (Robinson et al., 2007; but see Cofield et al., 2010, who found no link between funding source and causal language).""",,[[@Josefsson2020]]
